"country","name","almonds","wine","dairy_and_products","walnuts","pistachios","table_grapes","tomatoes_processed","rice","oranges_and_products","strawberries","hay","cotton","raisins","beef_ and_products","lettuce","lemons","dried_plums","peaches_and_nectarines","raspberries_and_blackberries","cauliflower","broccoli","flowers_and_nursery","spinach","onions","cherries","celery","carrots","plums","melons","dates","tangerines_and_mandarins","garlic","blueberries","tomatoes_fresh","olives_and_olive oil","pears","sweet_potatoes","grapefruit","potatoes","avocado","grape_juice","bell_and_chili peppers","dry_beans","asparagus","apricots","kiwi","cabbage","figs","cottonseed_and_byproducts","artichokes"
"european union","yr_2015",38,41,0,30,51,0,13,0,0,0,0,0,24,0,0,9,43,0,0,0,0,0,0,8,0,0,0,0,0,16,8,11,0,0,0,0,67,26,0,0,0,0,43,13,0,9,0,0,0,0
"european union","yr_2016",36,44,0,31,33,0,11,5,0,0,0,0,25,0,0,5,34,0,0,0,0,8,0,11,0,0,0,0,0,15,7,12,13,0,0,0,72,26,0,0,0,0,36,19,0,0,0,0,5,0
"china/hong kong","yr_2015",10,10,9,10,21,11,0,0,16,0,30,26,10,33,0,10,0,0,0,0,0,0,0,0,23,0,0,28,0,0,0,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,6,0
"china/hong kong","yr_2016",12,11,9,6,46,11,0,0,20,0,30,27,9,24,0,9,0,0,0,0,0,0,0,0,23,5,0,35,0,0,0,0,5,0,0,0,0,0,0,7,5,0,0,0,0,0,0,10,0,0
"india","yr_2015",10,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"india","yr_2016",11,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"canada","yr_2015",6,26,9,6,8,30,53,8,23,71,0,0,10,0,89,28,8,57,85,81,74,38,95,46,27,78,92,42,87,27,53,44,59,82,44,66,32,18,45,52,65,94,14,56,60,24,91,49,10,74
"canada","yr_2016",6,24,12,5,5,29,40,8,22,70,0,0,11,0,87,33,7,56,78,79,60,31,94,49,25,74,94,38,83,26,50,33,64,94,45,67,26,20,43,26,69,95,18,22,54,16,95,48,5,70
"united arab emirates","yr_2015",7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"united arab emirates","yr_2016",5,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"japan","yr_2015",6,7,5,8,0,0,20,37,12,7,38,0,19,30,0,27,18,0,7,10,20,0,0,7,7,5,0,0,0,0,20,5,6,0,8,0,0,36,5,17,13,0,9,19,9,5,0,8,12,0
"japan","yr_2016",5,5,0,7,0,5,5,33,13,7,33,0,20,33,0,27,21,0,7,9,31,0,0,7,8,7,0,0,5,0,32,6,5,0,8,0,0,37,9,17,9,0,0,27,9,33,0,11,0,0
"other destinations","yr_2015",22,16,33,29,21,41,6,22,16,13,8,22,32,5,7,9,31,13,8,4,6,17,0,20,15,12,8,9,8,20,19,17,24,3,25,17,2,9,25,7,6,6,34,13,11,5,0,7,14,5
"other destinations","yr_2016",25,16,43,16,16,29,32,27,15,14,7,24,31,7,7,13,38,9,15,4,2,12,0,15,15,7,6,9,6,23,11,27,14,4,25,14,2,7,21,20,6,5,35,11,12,2,0,4,8,9
"mexico","yr_2015",0,0,28,0,0,12,0,0,0,9,0,0,5,0,0,0,0,18,0,0,0,45,5,13,0,0,0,11,5,0,0,13,0,15,18,17,0,0,21,0,0,0,0,0,20,58,0,25,36,21
"mexico","yr_2016",0,0,30,5,0,10,12,0,0,9,0,0,0,0,0,0,0,17,0,0,0,43,6,11,0,0,0,9,6,0,0,8,0,0,13,19,0,0,18,0,0,0,0,0,24,45,0,27,51,21
"philippines","yr_2015",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"philippines","yr_2016",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"turkey","yr_2015",0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"turkey","yr_2016",0,0,0,14,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"korea","yr_2015",0,0,0,8,0,0,0,18,28,0,16,0,0,23,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,7,0,0,0,0,10,0,16,0,0,0,0,0,0,0,0,15,0
"korea","yr_2016",0,0,0,7,0,0,0,15,27,0,15,0,0,28,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,6,0,0,0,0,0,0,0,11,0
"vietnam","yr_2015",0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vietnam","yr_2016",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"australia","yr_2015",0,0,0,0,0,5,8,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"australia","yr_2016",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"taiwan","yr_2015",0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,12,0,6,0,0,0,6,7,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"taiwan","yr_2016",0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,13,0,8,7,0,0,7,8,7,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"jordan","yr_2015",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jordan","yr_2016",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"papua new guin","yr_2015",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"papua new guin","yr_2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"saudi arabia","yr_2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"saudi arabia","yr_2016",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"pakistan","yr_2015",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pakistan","yr_2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"peru","yr_2015",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"peru","yr_2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"thailand","yr_2015",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"thailand","yr_2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"taiwam","yr_2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"taiwam","yr_2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"south korea","yr_2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"south korea","yr_2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"indonesia","yr_2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"indonesia","yr_2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"singapore","yr_2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"singapore","yr_2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"kuwait","yr_2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kuwait","yr_2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"switzerland","yr_2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"switzerland","yr_2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"barbados","yr_2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"barbados","yr_2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
